date,weighted_tavg,weighted_prcp
2016-10-17,9.314436009584098,0.09557777821059184
2016-10-18,7.6411029665504895,0.06571678459884682
2016-10-19,6.753972086447715,0.05399566166650225
2016-10-20,5.940564803163732,0.14218185068705222
2016-10-21,6.830578691778168,0.06136329528184682
2016-10-22,7.21334009204546,0.10068644987237603
2016-10-23,7.029168880862394,0.003008339129729032
2016-10-24,7.102331421078539,0.060808314720118925
2016-10-25,8.44930695522829,0.29222136078979216
2016-10-26,8.504294223129744,0.08971566117110467
2016-10-27,8.864112137453027,0.08398573413912706
2016-10-28,9.624592867936805,0.08452606595719514
2016-10-29,8.30461197657927,0.07418651109987658
2016-10-30,7.2594420809059335,0.1646870759144797
2016-10-31,8.374016163492271,1.4005080193034154
2016-11-01,8.102870754600337,0.034626018129042986
2016-11-02,7.864726818440552,0.1629285925288662
2016-11-03,7.587105669393094,0.14607346708303293
2016-11-04,7.389136004806176,0.004709741306010297
2016-11-05,7.680897330621777,0.03107579589189287
2016-11-06,7.970622748657312,0.35736737061859225
2016-11-07,7.211669857882515,0.2542552211566284
2016-11-08,5.937425963487015,0.02237279191399354
2016-11-09,6.544836390784264,0.049331984312773275
2016-11-10,6.2542348336725535,0.023997145993031266
2016-11-11,4.713369150148818,0.0010979888424442236
2016-11-12,5.345576711267643,0.012869961324375144
2016-11-13,6.267485745109513,0.0082687771524206
2016-11-14,6.353348431408938,0.05283844285471266
2016-11-15,6.8964630336162625,0.03270416885654926
2016-11-16,7.04736835730291,0.12172561602791662
2016-11-17,4.662901155674942,0.1415548412026625
2016-11-18,1.2918233036129063,0.07557634436215495
2016-11-19,-0.26163528974717576,0.03947475944103782
2016-11-20,2.1884401350559726,0.09060296551324389
2016-11-21,3.239241432464752,0.023726223911141195
2016-11-22,3.648866649955547,0.1208948413259779
2016-11-23,2.4467120870489376,0.08328165050899135
2016-11-24,2.5732549185430056,0.028245767605815864
2016-11-25,2.1667057012612028,0.027207001341010593
2016-11-26,2.6724477619388547,0.012212415764771799
2016-11-27,3.549444362825568,0.2622012412888694
2016-11-28,2.665745769121963,3.7794516451856515
2016-11-29,1.4676348801320407,5.966337570992381
2016-11-30,0.21505005806265948,0.23272719742282164
2016-12-01,0.017726168186725913,0.060564864088728035
2016-12-02,0.013737609535946334,0.09200263603928455
2016-12-03,0.4199842964273003,0.3135487079999681
2016-12-04,0.7794396789806863,0.1614660444723308
2016-12-05,-0.3506364465690756,0.20938681318446675
2016-12-06,-3.774977568392213,0.261940139750637
2016-12-07,-5.751879275473201,0.7904596858341695
2016-12-08,-7.6346827575992915,0.20510573287812753
2016-12-09,-7.492404673031619,0.06853092383100558
2016-12-10,-5.785189408877644,0.34212648275970803
2016-12-11,-4.123939449761448,0.19097921416324867
2016-12-12,-4.904391212745209,0.12330901600257477
2016-12-13,-5.414144637167969,0.021980985510547526
2016-12-14,-6.97303446187986,0.07789635157195153
2016-12-15,-6.4291588709207845,0.15035837769738983
2016-12-16,-4.748889247048873,0.34510656236877063
2016-12-17,-10.442007519745353,0.27166547138703323
2016-12-18,-9.685212777445305,0.03788426957722982
2016-12-19,-3.759880250476161,0.017037671721114516
2016-12-20,-0.33427675458027156,0.049874289881069435
2016-12-21,0.6335508469208454,0.035538389151692294
2016-12-22,-0.700356366231706,0.023086252068951856
2016-12-23,-0.6199311716417308,0.09824337376899986
2016-12-24,-1.3305619201591847,0.2084552616552785
2016-12-25,-0.4373764210803337,1.246065480990152
2016-12-26,-2.2568275094293413,0.2749409376675353
2016-12-27,-2.1802329285272575,0.04358173794793081
2016-12-28,0.8965250761090724,0.02508522652740846
2016-12-29,-0.9540386174314186,0.041947894338113655
2016-12-30,-0.41787010370802347,0.05948751615065532
2016-12-31,-1.0344995099133696,0.017284487656988406
2017-01-01,-1.8222232206999305,0.2476355602674136
2017-01-02,-2.390400950866098,1.5155031225867013
2017-01-03,-6.707979537093982,0.1868788111602077
2017-01-04,-8.181953571410201,0.097205735255872
2017-01-05,-8.804716409898077,0.117524863864328
2017-01-06,-9.316327031285725,0.09648592220362588
2017-01-07,-9.851805195774048,0.0670711104598789
2017-01-08,-6.0787618748632175,0.1493680104636521
2017-01-09,-3.099680148247092,0.3784971000745874
2017-01-10,-1.5905610421219771,0.2416974350598503
2017-01-11,-3.801080012438746,0.12653045359284523
2017-01-12,-6.3590426543970375,0.06918510240378649
2017-01-13,-6.475657702117964,0.01706452743666032
2017-01-14,-4.710642226432104,0.5112182298673749
2017-01-15,-3.3202228306972597,1.167057785763536
2017-01-16,-2.197822234183877,0.5286990074188492
2017-01-17,-0.789714058926265,0.14743893398863495
2017-01-18,1.3652079546334335,0.0646705151871753
2017-01-19,1.3481754126516583,0.06502949142347209
2017-01-20,1.4155662990105282,0.10398472508669881
2017-01-21,1.3839790331373347,0.07964077811141235
2017-01-22,1.4177061460571065,0.12521283591092278
2017-01-23,0.946715732069793,0.23464447450399809
2017-01-24,0.15503854697503178,0.0900266856810893
2017-01-25,-1.988150732601904,0.08812934132716589
2017-01-26,-2.5761419570670587,0.010822157802157223
2017-01-27,-1.300732795407678,0.010213294053194641
2017-01-28,0.4336713943423032,0.006683873546517153
2017-01-29,1.8575966875291157,0.012512280799337666
2017-01-30,2.4835040286926984,0.039473966268979234
2017-01-31,0.8369019586938965,0.09910624495861392
2017-02-01,-2.8602413700992813,0.012584520381758542
2017-02-02,-5.180010486801182,0.012215924908633519
2017-02-03,-4.979192988922346,0.11246186680879472
2017-02-04,-1.6674636798071778,0.1449154854568261
2017-02-05,-1.3457335877738958,0.24979235178915843
2017-02-06,-0.49411248911258654,0.3520138073919811
2017-02-07,-1.9960646268408735,0.3532977751632868
2017-02-08,-5.208876327941949,0.08010727028406452
2017-02-09,-2.4510505252048698,0.14015391612005976
2017-02-10,5.028912839699438,0.06395910558905299
2017-02-11,4.857731544119241,0.012540554495941254
2017-02-12,2.1525032520257033,0.041007991517008305
