State code,County code,centroid_lat,centroid_lon,2024 planted area (acres),weight
01,001,32.53528719426239,-86.64268300611592,41.9,6.762281620904042e-07
01,001,32.53528719426239,-86.64268300611592,0.0,0.0
01,003,30.72898982427829,-87.72285476850465,809.16,1.305911168584896e-05
01,003,30.72898982427829,-87.72285476850465,0.0,0.0
01,005,31.87027133692573,-85.39222313097571,373.7,6.031180529192937e-06
01,005,31.87027133692573,-85.39222313097571,0.0,0.0
01,009,33.98109958434315,-86.56692056122476,128.88,2.0800068145635153e-06
01,009,33.98109958434315,-86.56692056122476,0.0,0.0
01,011,32.10059407405294,-85.71574459474152,4.0,6.455638778906007e-08
01,011,32.10059407405294,-85.71574459474152,0.0,0.0
01,015,33.77160962707353,-85.82568747405793,1199.25,1.9354812014007573e-05
01,015,33.77160962707353,-85.82568747405793,0.0,0.0
01,017,32.913863002740584,-85.39170216667902,69.86,1.127477312735934e-06
01,017,32.913863002740584,-85.39170216667902,0.0,0.0
01,019,34.1761782829754,-85.6038570369196,766.81,1.2375620930132287e-05
01,019,34.1761782829754,-85.6038570369196,0.0,0.0
01,031,31.402116890681658,-85.98827876708145,117.99,1.9042520488077995e-06
01,031,31.402116890681658,-85.98827876708145,0.0,0.0
01,033,34.700963353101166,-87.8046580788145,8730.67,0.00014090512954457828
01,033,34.700963353101166,-87.8046580788145,0.0,0.0
01,035,31.429336309890914,-86.99392293480601,29.92,4.828817806621693e-07
01,035,31.429336309890914,-86.99392293480601,0.0,0.0
01,041,31.731799099860083,-86.31349772323547,45.0,7.262593626269258e-07
01,041,31.731799099860083,-86.31349772323547,0.0,0.0
01,043,34.132077023325586,-86.86710882263066,352.11,5.682737426101485e-06
01,043,34.132077023325586,-86.86710882263066,0.0,0.0
01,047,32.326470849497014,-87.1063612194845,295.09,4.762486118168434e-06
01,047,32.326470849497014,-87.1063612194845,0.0,0.0
01,049,34.460603012033346,-85.80373968598134,1756.09,2.8341706758122626e-05
01,049,34.460603012033346,-85.80373968598134,0.0,0.0
01,051,32.597379038081094,-86.14885063717901,253.18,4.086096565108557e-06
01,051,32.597379038081094,-86.14885063717901,0.0,0.0
01,053,31.12622116385946,-87.16177822695043,1233.1,1.9901120445672494e-05
01,053,31.12622116385946,-87.16177822695043,0.0,0.0
01,055,34.045312144385555,-86.03476607688737,17.0,2.743646481035053e-07
01,055,34.045312144385555,-86.03476607688737,0.0,0.0
01,057,33.721368040137456,-87.73924981403614,27.0,4.357556175761555e-07
01,057,33.721368040137456,-87.73924981403614,0.0,0.0
01,059,34.44248441979976,-87.84328902419519,744.43,1.2014427940452496e-05
01,059,34.44248441979976,-87.84328902419519,0.0,0.0
01,061,31.09492179439262,-85.83932711785428,9.67,1.560650674800527e-07
01,061,31.09492179439262,-85.83932711785428,0.0,0.0
01,069,31.153077306176804,-85.30254216361688,634.68,1.0243162050490162e-05
