model,avg_fz0,hit_rate,kupiec_p,ind_p,cc_p,kupiec_LR,ind_LR,cc_LR,n
Transformer,-2.854085707962029,0.13666666666666666,0.00047603997863110425,0.3384355281451378,0.001413336040775759,12.207256117976613,0.9163486475533773,13.12360476552999,900
SRNN-VE-1,-2.8325428201803535,0.10777777777777778,0.44183092977274074,0.6303353967144955,0.6626128333193092,0.5915226317099496,0.23160621064880615,0.8231288423587557,900
Baseline[rw],-2.757879574783014,0.13444444444444445,0.0009991053380156156,0.28120032511659077,0.0024905505272976303,10.829223416730088,1.1612795785563321,11.99050299528642,900
