model,avg_fz0,hit_rate,kupiec_p,ind_p,cc_p,kupiec_LR,ind_LR,cc_LR,n
SRNN-VE-1,-2.5691686747339775,0.06,0.1814388340206885,0.4523703615415525,0.3087410086219219,1.7857991464786096,0.5647058801940261,2.3505050266726357,900
Transformer,-2.5474102193768067,0.08555555555555555,8.020812043985082e-06,0.07469497535996883,9.589851877822575e-06,19.93289998538762,3.176710243949742,23.109610229337363,900
Baseline[rw],-2.4460405020894895,0.07777777777777778,0.00038681933350970255,0.4639624407015146,0.0014080290466755851,12.594810196512071,0.5363185869237554,13.131128783435827,900
