model,avg_fz0,hit_rate,kupiec_p,ind_p,cc_p,kupiec_LR,ind_LR,cc_LR,n
Transformer,-2.2904186835849516,0.03777777777777778,0.022266371527614348,0.1619550134473774,0.02758831312927079,5.224849628815093,1.9558764377433135,7.180726066558407,900
SRNN-VE-1,-2.243682153405039,0.044444444444444446,0.0007422001891048691,0.8370762365619562,0.00330809832005019,11.380477913241009,0.04228564748075314,11.422763560721762,900
Baseline[rw],-2.176815254042779,0.043333333333333335,0.0013924002899455834,0.10022911207821117,0.0015665744499326895,10.215833808739717,2.701894036083843,12.91772784482356,900
